group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hailstone_sequence_append_162964,,,,,960700.0,ns,1782
hailstone_sequence_append_162964,,,,,1803300.0,ns,3564
hailstone_sequence_append_162964,,,,,2823400.0,ns,5346
hailstone_sequence_append_162964,,,,,3781700.0,ns,7128
hailstone_sequence_append_162964,,,,,5262600.0,ns,8910
hailstone_sequence_append_162964,,,,,5688900.0,ns,10692
hailstone_sequence_append_162964,,,,,6384100.0,ns,12474
hailstone_sequence_append_162964,,,,,7807900.0,ns,14256
hailstone_sequence_append_162964,,,,,8418300.0,ns,16038
hailstone_sequence_append_162964,,,,,9779600.0,ns,17820
hailstone_sequence_append_162964,,,,,10563100.0,ns,19602
hailstone_sequence_append_162964,,,,,10989200.0,ns,21384
hailstone_sequence_append_162964,,,,,12189400.0,ns,23166
hailstone_sequence_append_162964,,,,,13444200.0,ns,24948
hailstone_sequence_append_162964,,,,,14120600.0,ns,26730
hailstone_sequence_append_162964,,,,,15285800.0,ns,28512
hailstone_sequence_append_162964,,,,,16119000.0,ns,30294
hailstone_sequence_append_162964,,,,,17386600.0,ns,32076
hailstone_sequence_append_162964,,,,,18207000.0,ns,33858
hailstone_sequence_append_162964,,,,,18992200.0,ns,35640
hailstone_sequence_append_162964,,,,,19904200.0,ns,37422
hailstone_sequence_append_162964,,,,,20231800.0,ns,39204
hailstone_sequence_append_162964,,,,,22000500.0,ns,40986
hailstone_sequence_append_162964,,,,,23276200.0,ns,42768
hailstone_sequence_append_162964,,,,,23996400.0,ns,44550
hailstone_sequence_append_162964,,,,,24133100.0,ns,46332
hailstone_sequence_append_162964,,,,,26539300.0,ns,48114
hailstone_sequence_append_162964,,,,,26961100.0,ns,49896
hailstone_sequence_append_162964,,,,,26782600.0,ns,51678
hailstone_sequence_append_162964,,,,,28479000.0,ns,53460
hailstone_sequence_append_162964,,,,,28986000.0,ns,55242
hailstone_sequence_append_162964,,,,,30100300.0,ns,57024
hailstone_sequence_append_162964,,,,,30791700.0,ns,58806
hailstone_sequence_append_162964,,,,,32248300.0,ns,60588
hailstone_sequence_append_162964,,,,,33049900.0,ns,62370
hailstone_sequence_append_162964,,,,,35035100.0,ns,64152
hailstone_sequence_append_162964,,,,,34664500.0,ns,65934
hailstone_sequence_append_162964,,,,,35734300.0,ns,67716
hailstone_sequence_append_162964,,,,,36904700.0,ns,69498
hailstone_sequence_append_162964,,,,,38099800.0,ns,71280
hailstone_sequence_append_162964,,,,,38165600.0,ns,73062
hailstone_sequence_append_162964,,,,,39735400.0,ns,74844
hailstone_sequence_append_162964,,,,,40539700.0,ns,76626
hailstone_sequence_append_162964,,,,,41706400.0,ns,78408
hailstone_sequence_append_162964,,,,,42387200.0,ns,80190
hailstone_sequence_append_162964,,,,,42690900.0,ns,81972
hailstone_sequence_append_162964,,,,,43452700.0,ns,83754
hailstone_sequence_append_162964,,,,,44747700.0,ns,85536
hailstone_sequence_append_162964,,,,,46063300.0,ns,87318
hailstone_sequence_append_162964,,,,,47340400.0,ns,89100
hailstone_sequence_append_162964,,,,,48195000.0,ns,90882
hailstone_sequence_append_162964,,,,,49181500.0,ns,92664
hailstone_sequence_append_162964,,,,,50569300.0,ns,94446
hailstone_sequence_append_162964,,,,,51506600.0,ns,96228
hailstone_sequence_append_162964,,,,,53851100.0,ns,98010
hailstone_sequence_append_162964,,,,,51850200.0,ns,99792
hailstone_sequence_append_162964,,,,,53508400.0,ns,101574
