group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
hailstone_sequence_append_686901248,,,,,926400.0,ns,688
hailstone_sequence_append_686901248,,,,,2022800.0,ns,1376
hailstone_sequence_append_686901248,,,,,2948700.0,ns,2064
hailstone_sequence_append_686901248,,,,,3697800.0,ns,2752
hailstone_sequence_append_686901248,,,,,4610600.0,ns,3440
hailstone_sequence_append_686901248,,,,,5518500.0,ns,4128
hailstone_sequence_append_686901248,,,,,6523300.0,ns,4816
hailstone_sequence_append_686901248,,,,,7476700.0,ns,5504
hailstone_sequence_append_686901248,,,,,8251300.0,ns,6192
hailstone_sequence_append_686901248,,,,,10118500.0,ns,6880
hailstone_sequence_append_686901248,,,,,10763600.0,ns,7568
hailstone_sequence_append_686901248,,,,,11685500.0,ns,8256
hailstone_sequence_append_686901248,,,,,12601900.0,ns,8944
hailstone_sequence_append_686901248,,,,,13569900.0,ns,9632
hailstone_sequence_append_686901248,,,,,14455400.0,ns,10320
hailstone_sequence_append_686901248,,,,,15333900.0,ns,11008
hailstone_sequence_append_686901248,,,,,16184700.0,ns,11696
hailstone_sequence_append_686901248,,,,,16943900.0,ns,12384
hailstone_sequence_append_686901248,,,,,18398300.0,ns,13072
hailstone_sequence_append_686901248,,,,,18528300.0,ns,13760
hailstone_sequence_append_686901248,,,,,19847000.0,ns,14448
hailstone_sequence_append_686901248,,,,,20498800.0,ns,15136
hailstone_sequence_append_686901248,,,,,21515600.0,ns,15824
hailstone_sequence_append_686901248,,,,,22468300.0,ns,16512
hailstone_sequence_append_686901248,,,,,23091900.0,ns,17200
hailstone_sequence_append_686901248,,,,,24397600.0,ns,17888
hailstone_sequence_append_686901248,,,,,25213600.0,ns,18576
hailstone_sequence_append_686901248,,,,,25937000.0,ns,19264
hailstone_sequence_append_686901248,,,,,27427700.0,ns,19952
hailstone_sequence_append_686901248,,,,,28532100.0,ns,20640
hailstone_sequence_append_686901248,,,,,29050400.0,ns,21328
hailstone_sequence_append_686901248,,,,,29953400.0,ns,22016
hailstone_sequence_append_686901248,,,,,31819500.0,ns,22704
hailstone_sequence_append_686901248,,,,,33163200.0,ns,23392
hailstone_sequence_append_686901248,,,,,32553900.0,ns,24080
hailstone_sequence_append_686901248,,,,,34191700.0,ns,24768
hailstone_sequence_append_686901248,,,,,34747600.0,ns,25456
hailstone_sequence_append_686901248,,,,,35630600.0,ns,26144
hailstone_sequence_append_686901248,,,,,36393200.0,ns,26832
hailstone_sequence_append_686901248,,,,,36945100.0,ns,27520
hailstone_sequence_append_686901248,,,,,38742500.0,ns,28208
hailstone_sequence_append_686901248,,,,,38824800.0,ns,28896
hailstone_sequence_append_686901248,,,,,41084200.0,ns,29584
hailstone_sequence_append_686901248,,,,,41639500.0,ns,30272
hailstone_sequence_append_686901248,,,,,42204500.0,ns,30960
hailstone_sequence_append_686901248,,,,,43885500.0,ns,31648
hailstone_sequence_append_686901248,,,,,44610200.0,ns,32336
hailstone_sequence_append_686901248,,,,,44575600.0,ns,33024
hailstone_sequence_append_686901248,,,,,46567400.0,ns,33712
hailstone_sequence_append_686901248,,,,,47206600.0,ns,34400
hailstone_sequence_append_686901248,,,,,48618700.0,ns,35088
hailstone_sequence_append_686901248,,,,,48614200.0,ns,35776
hailstone_sequence_append_686901248,,,,,50433400.0,ns,36464
hailstone_sequence_append_686901248,,,,,49920400.0,ns,37152
